NAME,bracelet,sharp,t0_c3_tri_c5_pen,t1_c3_tri_c5_pen,t0_c4_tri_c5_pen,t1_c4_tri_c5_pen,t2_c4_tri_c5_pen,t0_c5_pen_c5_pen,t1_c5_pen_c5_pen,E_2,E_3,Q_3_3,Q_2_9,Q_3_9,Q_9_9,ARM_0_2,ARM_0_3,ARM_1_2,ARM_2_2,ARM_2_3,ARM_2_4,ARM_3_3,c6_qua,mysterycell
STAR_67,"(0, 2, 3, 2, 5)",0,1,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
STAR_68,"(0, 2, 3, 3, 2)",1,1,0,2,2,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,2,0
STAR_69,"(0, 2, 3, 3, 3)",1,1,0,1,3,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0
STAR_70,"(0, 2, 3, 3, 5)",0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
STAR_71,"(0, 2, 3, 5, 2)",0,1,0,2,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0
STAR_72,"(0, 2, 3, 5, 3)",0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
STAR_73,"(0, 2, 3, 5, 5)",0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
STAR_74,"(0, 2, 5, 0, 3)",0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STAR_75,"(0, 2, 5, 0, 5)",0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
STAR_76,"(0, 2, 5, 2, 3)",0,1,0,2,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
STAR_77,"(0, 2, 5, 2, 5)",0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_78,"(0, 2, 5, 3, 3)",0,1,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0
STAR_79,"(0, 2, 5, 3, 5)",0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STAR_80,"(0, 2, 5, 5, 2)",0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
